label,n_samples,video_accuracy,avg_confidence
abseiling,3,0.6666666666666666,0.6780216048707018
air drumming,3,0.6666666666666666,0.6777869985690193
answering questions,3,0.0,0.4126979901834771
applauding,3,0.0,0.3100734536846479
applying cream,3,0.6666666666666666,0.643240215559291
archery,3,0.6666666666666666,0.6742941037966655
arm wrestling,3,1.0,0.9999991428284418
arranging flowers,3,1.0,0.9928749210777736
assembling computer,3,1.0,0.8642399681585057
auctioning,3,0.0,0.3270302301006658
baby waking up,3,0.6666666666666666,0.4861552433835135
baking cookies,3,1.0,0.5062899121689418
balloon blowing,3,1.0,0.9895732387518272
bandaging,3,1.0,0.6482868930571294
barbequing,3,1.0,0.680022408210096
bartending,3,0.6666666666666666,0.7826508890578161
beatboxing,2,0.5,0.34906315182646114
