label,n_samples,video_accuracy,avg_confidence
abseiling,3,0.6666666666666666,0.6781866293814448
air drumming,3,1.0,0.6820303658225062
answering questions,3,0.6666666666666666,0.25670450519183613
applauding,3,0.0,0.2639100669354221
applying cream,3,0.6666666666666666,0.49836712515252274
archery,3,0.6666666666666666,0.6363991184367074
arm wrestling,3,1.0,0.9999985968404346
arranging flowers,3,1.0,0.9540664622835141
assembling computer,3,1.0,0.7130905308675373
auctioning,3,0.0,0.3859655564828288
baby waking up,3,0.6666666666666666,0.43723446036369445
baking cookies,3,0.6666666666666666,0.4945556144616585
balloon blowing,3,1.0,0.9848205801895541
bandaging,3,1.0,0.5955650596057668
barbequing,3,1.0,0.597213160598671
bartending,3,0.3333333333333333,0.6741312859528853
beatboxing,2,0.5,0.39256886650054224
