label,n_samples,video_accuracy,avg_confidence
abseiling,3,0.6666666666666666,0.8100164173804685
air drumming,3,0.6666666666666666,0.7341923393769029
answering questions,3,0.6666666666666666,0.7477336459211799
applauding,3,0.3333333333333333,0.6154460697936339
applying cream,3,0.6666666666666666,0.6949024834694008
archery,3,0.3333333333333333,0.7424986239539267
arm wrestling,3,1.0,0.999960412437539
arranging flowers,3,1.0,0.9989815460830472
assembling computer,3,1.0,0.9646477248037805
auctioning,3,1.0,0.6254710819045187
baby waking up,3,1.0,0.5386236546400057
baking cookies,3,1.0,0.6151621526509824
balloon blowing,3,1.0,0.992095076501141
bandaging,3,1.0,0.8227373169025531
barbequing,3,1.0,0.8734197622750622
bartending,3,0.6666666666666666,0.7913600069856267
beatboxing,2,0.5,0.28155762166307685
