label,n_samples,video_accuracy,avg_confidence
abseiling,3,0.6666666666666666,0.8112562239638992
air drumming,3,0.6666666666666666,0.7514036852503909
answering questions,3,0.6666666666666666,0.7455317842841184
applauding,3,0.3333333333333333,0.6100571601247703
applying cream,3,0.6666666666666666,0.6832102388645263
archery,3,0.3333333333333333,0.7236881134601739
arm wrestling,3,1.0,0.9999994622363199
arranging flowers,3,1.0,0.9990119118816577
assembling computer,3,1.0,0.9642208676560085
auctioning,3,1.0,0.6251202075490876
baby waking up,3,1.0,0.5447124659852706
baking cookies,3,1.0,0.6089605459134386
balloon blowing,3,1.0,0.9934104338929218
bandaging,3,1.0,0.8462829773861263
barbequing,3,1.0,0.8812351605325354
bartending,3,0.6666666666666666,0.794038953466445
beatboxing,2,1.0,0.28536484241485593
