label,n_samples,video_accuracy,avg_confidence
abseiling,3,0.6666666666666666,0.8097883649566059
air drumming,3,0.6666666666666666,0.7345384249164734
answering questions,3,0.6666666666666666,0.7479499662294984
applauding,3,0.3333333333333333,0.6168892219559186
applying cream,3,0.6666666666666666,0.6921455527161374
archery,3,0.3333333333333333,0.7439961565311122
arm wrestling,3,1.0,0.9999604529390732
arranging flowers,3,1.0,0.9990065154966478
assembling computer,3,1.0,0.9653465099228643
auctioning,3,1.0,0.6179966070032764
baby waking up,3,1.0,0.5392697057142811
baking cookies,3,1.0,0.6152680377851096
balloon blowing,3,1.0,0.9920020236944159
bandaging,3,1.0,0.82233974375448
barbequing,3,1.0,0.8718450951811282
bartending,3,0.6666666666666666,0.7898069726227375
beatboxing,2,0.5,0.2804511672692743
