label,n_samples,video_accuracy,avg_confidence
abseiling,3,0.6666666666666666,0.6779533018974156
air drumming,3,1.0,0.6914919487856053
answering questions,3,0.6666666666666666,0.25670450519183613
applauding,3,0.0,0.2639100669354221
applying cream,3,0.6666666666666666,0.49831100725210625
archery,3,0.6666666666666666,0.6360517159295388
arm wrestling,3,1.0,0.9999986061683068
arranging flowers,3,1.0,0.9541632577394829
assembling computer,3,1.0,0.711786815064012
auctioning,3,0.0,0.38978006713697555
baby waking up,3,0.6666666666666666,0.4360855613495149
baking cookies,3,0.6666666666666666,0.48779228196074875
balloon blowing,3,1.0,0.9848321691537514
bandaging,3,1.0,0.5955064972241719
barbequing,3,1.0,0.5984317369677208
bartending,3,0.3333333333333333,0.6774661503192307
beatboxing,2,0.5,0.3853700452794631
