label,n_samples,video_accuracy,avg_confidence
abseiling,3,0.6666666666666666,0.8100763847368458
air drumming,3,0.6666666666666666,0.7339568961014907
answering questions,3,0.6666666666666666,0.7476645303375041
applauding,3,0.3333333333333333,0.6158468393298486
applying cream,3,0.6666666666666666,0.6921455527161374
archery,3,0.3333333333333333,0.7442883372064193
arm wrestling,3,1.0,0.9999604453702294
arranging flowers,3,1.0,0.9989964974225668
assembling computer,3,1.0,0.9652675638747262
auctioning,3,1.0,0.6179966070032764
baby waking up,3,1.0,0.5392697057142811
baking cookies,3,1.0,0.6151621526509824
balloon blowing,3,1.0,0.9919302166368222
bandaging,3,1.0,0.8213858159502259
barbequing,3,1.0,0.8718424379749213
bartending,3,0.6666666666666666,0.7890949299919869
beatboxing,2,0.5,0.2804511672692743
