label,n_samples,video_accuracy,avg_confidence
abseiling,3,0.6666666666666666,0.745166326699476
air drumming,3,1.0,0.7337491814364259
answering questions,3,0.6666666666666666,0.32000962961093654
applauding,3,0.0,0.3406394155336027
applying cream,3,0.6666666666666666,0.5084561366173956
archery,3,0.6666666666666666,0.6676969503082576
arm wrestling,3,1.0,0.9999887049198151
arranging flowers,3,1.0,0.9753382298617791
assembling computer,3,1.0,0.7424277101097801
auctioning,3,0.0,0.4069162749198407
baby waking up,3,1.0,0.44471241268846723
baking cookies,3,0.6666666666666666,0.5551714172297054
balloon blowing,3,1.0,0.9779125861823559
bandaging,3,1.0,0.6845193754225201
barbequing,3,1.0,0.5957496713101863
bartending,3,0.3333333333333333,0.6901294533802588
beatboxing,2,0.5,0.3579835256872078
