label,n_samples,video_accuracy,avg_confidence
abseiling,3,0.6666666666666666,0.7291893327401745
air drumming,3,1.0,0.7175005952039589
answering questions,3,0.3333333333333333,0.40103841243896526
applauding,3,0.3333333333333333,0.3588657969815863
applying cream,3,0.6666666666666666,0.5806867888467944
archery,3,0.6666666666666666,0.7380611689223183
arm wrestling,3,1.0,0.9999998147620094
arranging flowers,3,1.0,0.9888509808957336
assembling computer,3,1.0,0.8369229609875575
auctioning,3,0.3333333333333333,0.31748089144627256
baby waking up,3,0.6666666666666666,0.4558955041628898
baking cookies,3,1.0,0.5063406756903598
balloon blowing,3,1.0,0.9813415479456258
bandaging,3,1.0,0.7181417771709571
barbequing,3,1.0,0.6712919690881086
bartending,3,0.6666666666666666,0.7621395732399332
beatboxing,2,0.5,0.3642681074727859
