label,n_samples,video_accuracy,avg_confidence
abseiling,3,0.6666666666666666,0.7769045207295067
air drumming,3,0.6666666666666666,0.7702566431102839
answering questions,3,0.6666666666666666,0.7669188396916503
applauding,3,0.3333333333333333,0.7130948631282065
applying cream,3,0.6666666666666666,0.6814682307958186
archery,3,0.6666666666666666,0.7247947221693366
arm wrestling,3,1.0,0.9993347319654249
arranging flowers,3,1.0,0.9966853685071823
assembling computer,3,1.0,0.9218138128608958
auctioning,3,1.0,0.6129244636974378
baby waking up,3,1.0,0.596683307424234
baking cookies,3,1.0,0.5584049589615879
balloon blowing,3,1.0,0.9841098498498843
bandaging,3,1.0,0.8086030448062552
barbequing,3,1.0,0.8513504421047084
bartending,3,0.6666666666666666,0.7480467158682131
beatboxing,2,0.5,0.27405810533534913
