label,n_samples,video_accuracy,avg_confidence
abseiling,3,0.6666666666666666,0.7405184276516997
air drumming,3,1.0,0.7324561388977678
answering questions,3,0.6666666666666666,0.32000962961093654
applauding,3,0.0,0.3406394155336027
applying cream,3,0.6666666666666666,0.5080530418381591
archery,3,0.6666666666666666,0.6737492574526677
arm wrestling,3,1.0,0.999988568680627
arranging flowers,3,1.0,0.9745833036720112
assembling computer,3,1.0,0.7481916639425611
auctioning,3,0.0,0.4069162749198407
baby waking up,3,1.0,0.44562968264370806
baking cookies,3,0.6666666666666666,0.5674954244512178
balloon blowing,3,1.0,0.9772336374962568
bandaging,3,1.0,0.6841066156732447
barbequing,3,1.0,0.5870535869565275
bartending,3,0.3333333333333333,0.6937337433689356
beatboxing,2,0.5,0.3579835256872078
