label,n_samples,video_accuracy,avg_confidence
abseiling,3,0.6666666666666666,0.7397038505309158
air drumming,3,1.0,0.7223964344070416
answering questions,3,0.3333333333333333,0.40103841243896526
applauding,3,0.3333333333333333,0.3588657969815863
applying cream,3,0.6666666666666666,0.5812291445640417
archery,3,0.6666666666666666,0.7427795915012686
arm wrestling,3,1.0,0.9999998166010929
arranging flowers,3,1.0,0.9888461543199344
assembling computer,3,1.0,0.8381847492335499
auctioning,3,0.3333333333333333,0.320020634534522
baby waking up,3,0.6666666666666666,0.45465864640728276
baking cookies,3,1.0,0.5092531275004148
balloon blowing,3,1.0,0.9813463940070225
bandaging,3,1.0,0.7131393310836717
barbequing,3,1.0,0.6716233756886716
bartending,3,0.6666666666666666,0.7639898585169403
beatboxing,2,0.5,0.36731364857405424
