label,n_samples,video_accuracy,avg_confidence
abseiling,3,0.6666666666666666,0.6783904695510864
air drumming,3,1.0,0.7002358125987644
answering questions,3,0.6666666666666666,0.2554056545938043
applauding,3,0.0,0.2700921108640691
applying cream,3,0.6666666666666666,0.4983283686015587
archery,3,0.6666666666666666,0.6336296517162063
arm wrestling,3,1.0,0.9999986349367628
arranging flowers,3,1.0,0.954956049102324
assembling computer,3,1.0,0.7044773649364684
auctioning,3,0.0,0.39176257564967587
baby waking up,3,0.6666666666666666,0.43881401444315654
baking cookies,3,0.6666666666666666,0.4857727971793426
balloon blowing,3,1.0,0.9847344345438714
bandaging,3,1.0,0.5996752750336753
barbequing,3,1.0,0.5954581456209761
bartending,3,0.3333333333333333,0.6807845208210784
beatboxing,2,0.5,0.38252315184190155
