label,n_samples,video_accuracy,avg_confidence
abseiling,3,0.6666666666666666,0.7837661576700197
air drumming,3,0.6666666666666666,0.7729082589202309
answering questions,3,0.6666666666666666,0.7645420922320542
applauding,3,0.3333333333333333,0.7022791881796945
applying cream,3,0.6666666666666666,0.713212189803072
archery,3,0.6666666666666666,0.7404978380151704
arm wrestling,3,1.0,0.9991765160889345
arranging flowers,3,1.0,0.9961304045354934
assembling computer,3,1.0,0.9310798915132553
auctioning,3,1.0,0.6265274187745272
baby waking up,3,1.0,0.5908617242368591
baking cookies,3,1.0,0.5589265781303502
balloon blowing,3,1.0,0.9847727017573757
bandaging,3,1.0,0.822369693897704
barbequing,3,1.0,0.8572133176780351
bartending,3,0.6666666666666666,0.7566907315557484
beatboxing,2,0.5,0.26219713169699294
