effective_clip_frames,video_top1_accuracy,chunk_top1_accuracy,prediction_switch_rate_avg,infer_avg_ms,tx_avg_ms,end_to_end_avg_ms,n_dropped_chunks
4,0.6291666666666667,0.6216606462018914,0.14920881779460804,10.760516766602509,113.68655836917361,181.20061847628756,63.833333333333336
8,0.6541666666666667,0.5967670810534308,0.1810495406212851,10.899723382746881,227.5369696233424,295.17995261985743,53.0
16,0.5708333333333333,0.5629433801441235,0.14266371879067924,11.284697922117596,457.06873485103597,525.2888548427369,34.25
