label,n_samples,video_accuracy,avg_confidence
abseiling,3,0.6666666666666666,0.6821359894838598
air drumming,3,1.0,0.6918866471722236
answering questions,3,0.6666666666666666,0.25670450519183613
applauding,3,0.0,0.2639100669354221
applying cream,3,0.6666666666666666,0.49836712515252274
archery,3,0.6666666666666666,0.6390877194702625
arm wrestling,3,1.0,0.9999986012776693
arranging flowers,3,1.0,0.9540664622835141
assembling computer,3,1.0,0.711786815064012
auctioning,3,0.0,0.38978006713697555
baby waking up,3,0.6666666666666666,0.43723446036369445
baking cookies,3,0.6666666666666666,0.48779228196074875
balloon blowing,3,1.0,0.9848321691537514
bandaging,3,1.0,0.5955134201283548
barbequing,3,1.0,0.5984317369677208
bartending,3,0.3333333333333333,0.6769012629553891
beatboxing,2,0.5,0.3853700452794631
