label,n_samples,video_accuracy,avg_confidence
abseiling,3,0.6666666666666666,0.7414416635395787
air drumming,3,1.0,0.7241717239070421
answering questions,3,0.3333333333333333,0.39670896528302596
applauding,3,0.3333333333333333,0.36454416521721417
applying cream,3,0.6666666666666666,0.5772796980423274
archery,3,0.6666666666666666,0.7368375288343977
arm wrestling,3,1.0,0.9999998161216187
arranging flowers,3,1.0,0.9893037209687409
assembling computer,3,1.0,0.8271692125174459
auctioning,3,0.3333333333333333,0.31688059426649
baby waking up,3,0.6666666666666666,0.4566550232877933
baking cookies,3,1.0,0.5115739109349393
balloon blowing,3,1.0,0.9806058840346492
bandaging,3,1.0,0.7141534630870091
barbequing,3,1.0,0.6743332511911374
bartending,3,0.6666666666666666,0.7654990033605865
beatboxing,2,0.5,0.365123184521993
