label,n_samples,video_accuracy,avg_confidence
abseiling,3,0.6666666666666666,0.8031509630700461
air drumming,3,0.6666666666666666,0.7512407146891432
answering questions,3,0.6666666666666666,0.7455317842841184
applauding,3,0.3333333333333333,0.6162767005750002
applying cream,3,0.6666666666666666,0.6831440777088256
archery,3,0.3333333333333333,0.7278541066157183
arm wrestling,3,1.0,0.9999994623164336
arranging flowers,3,1.0,0.9990119118816577
assembling computer,3,1.0,0.9650657580780058
auctioning,3,1.0,0.6251202075490876
baby waking up,3,1.0,0.5441172702369665
baking cookies,3,1.0,0.6089605459134386
balloon blowing,3,1.0,0.9934200303008159
bandaging,3,1.0,0.8404105912856381
barbequing,3,1.0,0.8765835360094321
bartending,3,0.6666666666666666,0.794038953466445
beatboxing,2,1.0,0.28536484241485593
