name,model_name,backend_used,effective_clip_frames,effective_sampling_rate,input_resize,input_crop,stride_frames,bandwidth_mbps,network_delay_ms,packet_loss,queue_delay_ms,jpeg_quality,n_total_manifest_rows,n_evaluated_videos,n_skipped_videos,video_top1_accuracy,avg_confidence,n_gt_classes_in_eval,n_pred_classes_in_eval,n_chunks,n_effective_chunks,n_dropped_chunks,chunk_top1_accuracy,infer_avg_ms,infer_p95_ms,tx_avg_ms,first_result_ms,end_to_end_avg_ms,prediction_switch_rate_avg,run_wall_time_sec,run_wall_time_min,_score_acc,_score_latency,_score_stability,_score_drop,tradeoff_score
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_8__bandwidth_mbps_8_0__network_delay_ms_20_0__packet_loss_0_0__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,8,8.0,20.0,0.0,0.0,80,20,20,0,0.65,0.7719167417708062,7,13,568,568,0,0.6161971830985915,9.89825950712106,12.359585001286176,30.990036655479752,62.54864382794767,60.88829616260081,0.1587470535999947,8.831203200003074,0.1471867200000512,1.0,0.9803914477701952,0.5321392358422359,1.0,0.9473313579152821
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_8__bandwidth_mbps_4_0__network_delay_ms_0_0__packet_loss_0_0__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,8,4.0,0.0,0.0,0.0,80,20,20,0,0.65,0.7719167417708062,7,13,568,568,0,0.6161971830985915,9.987126584471463,12.822055000651742,61.980073310959504,74.41785765682289,71.96719989543097,0.1587470535999947,8.915757300001133,0.1485959550000188,1.0,0.9696934556698616,0.5321392358422359,1.0,0.944121960285182
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_8_0__network_delay_ms_50_0__packet_loss_0_01__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,4,8.0,50.0,0.01,0.0,80,20,20,0,0.65,0.7714589466182934,7,13,1129,1117,12,0.6159355416293644,9.894414950730466,12.246919998142404,30.95332048549601,92.414938828304,90.87333711249188,0.1272199349958512,16.43015270000251,0.2738358783333751,1.0,0.9514373437409724,0.8272670012666558,0.7446808510638298,0.9426259883553403
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_4_0__network_delay_ms_20_0__packet_loss_0_01__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,4,4.0,20.0,0.01,0.0,80,20,20,0,0.65,0.7714589466182934,7,13,1129,1117,12,0.6159355416293644,9.858736257820016,12.476739999692654,61.90664097099203,94.68638265623304,91.81658058134283,0.1272199349958512,16.40710129999934,0.2734516883333223,1.0,0.9505265305935888,0.8272670012666558,0.7446808510638298,0.9423527444111253
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_8__bandwidth_mbps_8_0__network_delay_ms_50_0__packet_loss_0_0__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,8,8.0,50.0,0.0,0.0,80,20,20,0,0.65,0.7719167417708062,7,13,568,568,0,0.6161971830985915,10.0480922535585,12.44452000119054,30.990036655479752,92.98421882788534,91.03812890903824,0.1587470535999947,8.963808900000004,0.149396815,1.0,0.9512782177678466,0.5321392358422359,1.0,0.9385973889145776
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_8__bandwidth_mbps_4_0__network_delay_ms_20_0__packet_loss_0_0__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,8,4.0,20.0,0.0,0.0,80,20,20,0,0.65,0.7719167417708062,7,13,568,568,0,0.6161971830985915,9.679395070486889,11.520899999231917,61.980073310959504,94.5363426564436,91.6594683814464,0.1587470535999947,8.64314540000123,0.1440524233333538,1.0,0.9506782410077137,0.5321392358422359,1.0,0.9384173958865376
chunk_frames_8__input_resize_182__sampling_rate_12__stride_frames_8__bandwidth_mbps_8_0__network_delay_ms_0_0__packet_loss_0_0__jpeg_quality_80,x3d_xs,pytorchvideo_hub,8,12,182,182,8,8.0,0.0,0.0,0.0,80,20,20,0,0.65,0.6319019602632177,7,13,391,391,0,0.6112531969309463,9.888573657236192,11.929999998756102,62.201683883471865,72.66418062566518,72.09025754070807,0.1661052631578947,7.4170412000021315,0.1236173533333688,1.0,0.969574628956605,0.4632584741204136,1.0,0.9371982360990229
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_4_0__network_delay_ms_50_0__packet_loss_0_01__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,4,4.0,50.0,0.01,0.0,80,20,20,0,0.65,0.7714589466182934,7,13,1129,1117,12,0.6159355416293644,9.730557743985475,12.41891999889049,61.90664097099203,124.83271765636891,121.6884020675083,0.1272199349958512,16.209789000000455,0.2701631500000075,1.0,0.9216817533495562,0.8272670012666558,0.7446808510638298,0.9336993112379155
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_8__bandwidth_mbps_8_0__network_delay_ms_0_0__packet_loss_0_01__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,8,8.0,0.0,0.01,0.0,80,20,20,0,0.65,0.7653104647749333,7,13,568,559,9,0.6171735241502684,9.846238819291866,12.904520000302009,30.990036655479752,42.633152656328456,40.875231719560205,0.160251196923991,8.617906499999663,0.1436317749999943,1.0,0.999716428876464,0.5180588352936507,0.8085106382978723,0.9325718760220916
chunk_frames_16__input_resize_182__sampling_rate_6__stride_frames_8__bandwidth_mbps_8_0__network_delay_ms_0_0__packet_loss_0_0__jpeg_quality_80,x3d_xs,pytorchvideo_hub,16,6,182,182,8,8.0,0.0,0.0,0.0,80,20,20,0,0.65,0.5536631943734063,7,12,391,391,0,0.5652173913043478,11.152495396370917,14.094950000071549,124.1522188698849,136.51714624978484,135.3047142662558,0.1523347953216374,11.099427899996954,0.1849904649999492,1.0,0.9085335932201185,0.592164875380608,1.0,0.9317765655040963
