name,model_name,backend_used,effective_clip_frames,effective_sampling_rate,input_resize,input_crop,stride_frames,bandwidth_mbps,network_delay_ms,packet_loss,queue_delay_ms,jpeg_quality,n_total_manifest_rows,n_evaluated_videos,n_skipped_videos,video_top1_accuracy,avg_confidence,n_gt_classes_in_eval,n_pred_classes_in_eval,n_chunks,n_effective_chunks,n_dropped_chunks,chunk_top1_accuracy,infer_avg_ms,infer_p95_ms,tx_avg_ms,first_result_ms,end_to_end_avg_ms,prediction_switch_rate_avg,run_wall_time_sec,run_wall_time_min
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_8_0__network_delay_ms_0_0__packet_loss_0_01__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,4,8.0,0.0,0.01,0.0,80,20,20,0,0.65,0.7714589466182934,7,13,1129,1117,12,0.6159355416293644,9.602641629312515,11.604799998167437,30.95332048549601,42.37745882776653,40.58156379107393,0.1272199349958512,16.032019300000684,0.267200321666678
chunk_frames_4__input_resize_182__sampling_rate_12__stride_frames_8__bandwidth_mbps_8_0__network_delay_ms_0_0__packet_loss_0_01__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,12,182,182,8,8.0,0.0,0.01,0.0,80,20,20,0,0.6,0.7487720507053134,7,14,508,499,9,0.6232464929859719,9.634901803622713,11.91909000081068,31.060248908095478,42.21553382851562,40.65192804360267,0.1529415318188714,7.626325099998212,0.1271054183333035
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_8_0__network_delay_ms_0_0__packet_loss_0_0__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,4,8.0,0.0,0.0,0.0,80,20,20,0,0.65,0.771471383373694,7,13,1129,1129,0,0.6147032772364924,9.708062799037172,12.028259999351572,30.95332048549601,42.32498882841173,40.66138328453319,0.1280932282386126,16.270596500002284,0.2711766083333714
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_8__bandwidth_mbps_8_0__network_delay_ms_0_0__packet_loss_0_05__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,8,8.0,0.0,0.05,0.0,80,20,20,0,0.65,0.7649175176216921,7,13,568,542,26,0.6180811808118081,9.761479520336934,12.29205499821546,30.990036655479752,42.59891265645128,40.80616356092734,0.16612822227852,8.371107399998436,0.1395184566666406
chunk_frames_4__input_resize_182__sampling_rate_12__stride_frames_8__bandwidth_mbps_8_0__network_delay_ms_0_0__packet_loss_0_05__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,12,182,182,8,8.0,0.0,0.05,0.0,80,20,20,0,0.6,0.7472941013410055,7,14,508,485,23,0.6268041237113402,9.800459381372049,12.145959999907047,31.060248908095478,42.34390726540296,40.80817321835658,0.1525088662392188,7.6248387999985425,0.1270806466666423
chunk_frames_4__input_resize_182__sampling_rate_12__stride_frames_8__bandwidth_mbps_8_0__network_delay_ms_0_0__packet_loss_0_0__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,12,182,182,8,8.0,0.0,0.0,0.0,80,20,20,0,0.6,0.7490797218665765,7,14,508,508,0,0.6200787401574803,9.770791732323884,12.41440500034514,31.060248908095478,42.30462382786209,40.83104064041935,0.1481148511765622,7.839579100000265,0.130659651666671
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_8__bandwidth_mbps_8_0__network_delay_ms_0_0__packet_loss_0_01__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,8,8.0,0.0,0.01,0.0,80,20,20,0,0.65,0.7653104647749333,7,13,568,559,9,0.6171735241502684,9.846238819291866,12.904520000302009,30.990036655479752,42.633152656328456,40.875231719560205,0.160251196923991,8.617906499999663,0.1436317749999943
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_8_0__network_delay_ms_0_0__packet_loss_0_05__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,4,8.0,0.0,0.05,0.0,80,20,20,0,0.65,0.770843373457059,7,13,1129,1082,47,0.6173752310536045,10.062815341966,13.327705003030134,30.95332048549601,42.98600453132531,41.06481991249511,0.1277973403014327,16.384480699998676,0.2730746783333113
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_8__bandwidth_mbps_8_0__network_delay_ms_0_0__packet_loss_0_0__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,8,8.0,0.0,0.0,0.0,80,20,20,0,0.65,0.7719167417708062,7,13,568,568,0,0.6161971830985915,10.209338380321588,13.02969999887864,30.990036655479752,42.82793382783712,41.19937503580134,0.1587470535999947,9.028116400000728,0.1504686066666787
chunk_frames_4__input_resize_182__sampling_rate_12__stride_frames_4__bandwidth_mbps_8_0__network_delay_ms_0_0__packet_loss_0_05__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,12,182,182,4,8.0,0.0,0.05,0.0,80,20,20,0,0.6,0.7517125764370207,7,14,1009,968,41,0.6167355371900827,10.885702479386092,14.031170001362623,31.018093990027253,43.50717312521156,41.91340134302246,0.1479625076161734,15.827493199998573,0.2637915533333095
