label,n_samples,video_accuracy,avg_confidence
abseiling,3,0.6666666666666666,0.783539334442514
air drumming,3,0.6666666666666666,0.7722485569546728
answering questions,3,0.6666666666666666,0.7654979195100625
applauding,3,0.3333333333333333,0.7013898913273175
applying cream,3,0.6666666666666666,0.7093557039355559
archery,3,0.6666666666666666,0.7411330161780233
arm wrestling,3,1.0,0.9991136770501862
arranging flowers,3,1.0,0.9961168458016355
assembling computer,3,1.0,0.9345491272146882
auctioning,3,1.0,0.6298393780986468
baby waking up,3,1.0,0.5904585704509063
baking cookies,3,1.0,0.5542266384814105
balloon blowing,3,1.0,0.9845807888289361
bandaging,3,1.0,0.8218939999730676
barbequing,3,1.0,0.8561518496577433
bartending,3,0.6666666666666666,0.7621178754351355
beatboxing,2,0.5,0.26219713169699294
