label,n_samples,video_accuracy,avg_confidence
abseiling,3,0.6666666666666666,0.6797471591176695
air drumming,3,1.0,0.7002358125987644
answering questions,3,0.6666666666666666,0.2553511268574319
applauding,3,0.0,0.26952632635344115
applying cream,3,0.6666666666666666,0.49885366274378234
archery,3,0.6666666666666666,0.6309505306590338
arm wrestling,3,1.0,0.9999986382631155
arranging flowers,3,1.0,0.9558899275932315
assembling computer,3,1.0,0.7112173759091931
auctioning,3,0.0,0.39454342913003293
baby waking up,3,0.6666666666666666,0.4359212867826933
baking cookies,3,0.6666666666666666,0.48687142288224083
balloon blowing,3,1.0,0.985010359913875
bandaging,3,1.0,0.5972355207339639
barbequing,3,1.0,0.5954906773581187
bartending,3,0.3333333333333333,0.674632400324867
beatboxing,2,0.5,0.3814920429626236
