label,n_samples,video_accuracy,avg_confidence
abseiling,3,0.6666666666666666,0.6792892526195508
air drumming,3,0.6666666666666666,0.6777869985690193
answering questions,3,0.0,0.4131022935250291
applauding,3,0.0,0.31089924137901376
applying cream,3,0.6666666666666666,0.643030967977312
archery,3,0.6666666666666666,0.6742941037966655
arm wrestling,3,1.0,0.9999991428284418
arranging flowers,3,1.0,0.9928749210777736
assembling computer,3,1.0,0.8642399681585057
auctioning,3,0.0,0.3270302301006658
baby waking up,3,0.6666666666666666,0.489236030163187
baking cookies,3,1.0,0.5062893213624629
balloon blowing,3,1.0,0.9895732387518272
bandaging,3,1.0,0.6481945165287056
barbequing,3,1.0,0.680022408210096
bartending,3,0.6666666666666666,0.7749824763363243
beatboxing,2,0.5,0.3445787951350212
